user,tweet
Nageswar,@Vishj05 You can travel free in Delhi right? That's what you voted for? Whats your average monthly travel cost?
Amulya Kumar panda,कालुतोष तू कैसा विश्लेषक है जो यह नहीं पता कि पिछले चुनाव की अपेक्षा इस चुनाव में भाजपा का वोट बड़ा या घटा?… https://t.co/PKZtitKab6
Mozaffar khan 🇮🇳,"Pata nhi kyu 1-1 karke saare Raajyon me aache CM ka chunaav janta kar rahi hai, Shayad janta jaag gyi hai. 
Jharkha… https://t.co/VDw1wRpVZD"
Nipun Mudgal,@manishrajvansh5 @SushmaSwaraj @thekiranbedi That's the problem. Manoj Tiwari in Delhi. Is this a joke.?? Bhenchodd… https://t.co/aaNra0gY9X
रवि सिंह 🦁,@Real_Netan लड़की है तो बहन जैसा सम्मान तो मिलेगा ही लेकिन रही बात तो अनुज भाई शेर ही है कुछ जायचंडो के बोल
sharat sindhwani,"@narendramodi @PMOIndia Delhi elections gives serious lessons. Population control laws, law reforms, uniform civil… https://t.co/oiO5ilQuOx"
HT Sports,"Delhi Capitals co-owner questions India’s selection policy on Ravichandran Ashwin, Rishabh Pant

@DelhiCapitals… https://t.co/q9tkOEPsQR"
Lita,"@republic hey paid channel, leave that to the Delhi govt.
i see many tweets crying abt wasting tax payers. Delhi go… https://t.co/fF8H0fnv1F"
Dhanu,@virendersehwag @ArvindKejriwal Delhi people like local leader..!!!
Tv9 Gujarati,"Shaktisinh Gohil has been appointed as the new #Congress in-charge of #Delhi. 
@shaktisinhgohil https://t.co/cPhblYFIbd"
Rajput_Jai,@ArvindKejriwal  Dear Sir Aap Delhi ke CM h...  aapne election ke phle jb shaahin bhag  me log protest kr rhe the t… https://t.co/T19A2FrJfw
Indra Mani Pandey,@ArvindKejriwal Now do the important works and shining New look to Delhi.
Naushad Ali,Pehli baar Delhi May imandar Sarkar k aane se pure desh may khushiyo ka mahol h . #aap #AAPKiDilli
Thekhalastv,"Who is Arvind kejriwal, the man who defeated Modi’s BJP in Delhi | THE K... https://t.co/aJRn92FqFx via @YouTube"
Subh Misra,@sarkar_swati @TVMohandasPai @narendramodi @AmitShah No way that BJP is coming to power in WB anytime soon. It's go… https://t.co/WF7fCBj014
UMAKANT MANKAD 🌹,Congratulations Dear shri Shaktishinji Gohil for newly appointed PRABHARI of Delhi Congress.
Jills Daniel ജിൽസ് ഡാനിയേൽ,"Just called every voter who didn't vote for BJP in Delhi a pig. 
And also Delhi is keechad!

Sabka saath sabka what… https://t.co/Y8RqKIzG6J"
🇮🇳Dev Sehgal,Delhi2020AAP win not propped by#Chanakya Niti bcoz Rajrishi advocates Equality&amp;Best cities.BJP needed Modi-like peo… https://t.co/AbcBD4RP7F
VJRaman,@amitmalviya @GautamGambhir - do please raise the question of how the free promises by Kejriwal as to how he is goi… https://t.co/bNMBVp5g0X
Md.Rakibul Islam,Paid Media vs People of Delhi - Is free / subsidised utilities good gove... https://t.co/4paXv89wIW via @YouTube
Risabh,@ArvindKejriwal @MohammadKaif 🇮🇳🇮🇳🇮🇳🇮🇳Tu bihar or u.p ko gaali deta hai delhi mai baith k laikin vote tujeh usi bih… https://t.co/HU2QKBniJg
Md Firoz,Congratulations to @ArvindKejriwal ji and @AamAadmiParty for its huge win in Delhi.
SITU #I Support CAA & NRC #Need Population Control,Ungrateful Half of Delhi....
हिन्दी ख़बर Hindi Khabar,"#Bihar: चिराग़ के चाणक्य को विजन डॉक्यूमेंट की कमान, क्या दिल्ली की हार से बिहार में सतर्क हुए पासवान?… https://t.co/raaDZghM5W"
First India News Rajasthan,"#Delhi : जेपी नड्डा की नई टीम गठन की कवायद शुरू, टीम गठन के लिए राज्यों से मांगे सुझाव, फरवरी के आखिरी सप्ताह तक हो… https://t.co/yDAp35YvZT"
Vidyanag Moka,"@republic #HowMuchFree free nonsense, free fooling, FREE BANKRUPTCY ..courtesy DELHI FREE TUGLAK ..Crazywal ...utte… https://t.co/EZgutbhmzi"
Shambhu Kumar,@ArvindKejriwal @MohammadKaif Arvind kejriwal you are good cm in delhi many many congrachulation new delhi cm in th… https://t.co/1sYXd0cCBp
SecularKING,Delhi people voted for development !!! https://t.co/C1BaM5itLP
Dhas.GK,@latestly #DelhiElectionResult2020 gave humiliating defeat to #INC .The reason is no proper strategy adopted. Earli… https://t.co/olT1CvDOZd
DILIP LOHIA,"By Rejecting the BJP, Delhi Voters Have Busted Three Important Myths https://t.co/wrJ7Gn7n6Q"
Nitesh Gupta,@ZeeNewsHindi BJP done a big mistake by giving the Delhi BJP chairman seat to a Artist who don't have proper knowle… https://t.co/MDu5B60ybd
