user,tweet
Abhishek,"Delhi seeing future through he's eyes
Be blessed delhi,soon india will change 
#i support ideology of aap https://t.co/83S3AwLmQB"
Mohammed yahya,"All Muslim Candidates Of AAP Win Delhi Elections.
All 5 Muslim Candidates who were contesting delhi elections on AA… https://t.co/8MX1QgGWN8"
Siyad Shajahan,@RahulGandhi Congrats to Mr. Kejriwal &amp; the people of Delhi for given such a deserved reply to BJP
Ram Vanshaj Premlata Asopa🇮🇳,"@narendramodi @ArvindKejriwal Very rightly said sir.
When Delhi Voters have believed in AAP ,they will surely not l… https://t.co/37rXI5Piy5"
Swarit Sohaard,@MirrorNow @tanvishukla @AamAadmiParty @ArvindKejriwal The negative campaigning done by BJP is another major factor… https://t.co/fWnRKdvvh4
Lt. Gan Naan-Official BC,@vivekagnihotri After reading the tweet #Delhi wale 👇 https://t.co/1mnkARL3GY
🇮🇳 Er. PK Rathore🚩,"फ्री बिजली पानी के बदले वोट बेचने वाले दिल्लीवासियों 
""यह मकान बिकाऊ है"" का बोर्ड भी बनवा कर रख लो
बहुत जल्दी ही इस… https://t.co/s0Pj7nJn7t"
Ram Dubey,"Dekhiye delhi me aap ki jeet ka jashn manaate huye, news room of India today in dancing, but now no every one r say… https://t.co/Axg9ubTYFP"
Abhro Hazra,"Rinkiya ke papa - @ManojTiwariMP 
Delhi election results aagye toh ye toh banta tha xD 
PLEASE DONT LET THIS FLOP… https://t.co/HmSmWFxzWS"
Mohit Sethi,"@GauravY11 @thevirdas Giving free electricity, water n transport can only be seen in an ideal economy..&amp; delhi is q… https://t.co/yUaL8UUhzI"
Dr Vikas Purohit,"@Vipulakmishra @chetan_bhagat Don't blame Delhi voters (like I did previously) 40% voted for BJP despite freebies ,… https://t.co/r6tkQRsZwt"
Abhishek kumar,"Kejriwal wins,
Proud moment for delhi people as they decided it.
The main prospect kejriwal should now start is to… https://t.co/J6AfaQm9ws"
ritika,@justvoot sidnazz #sidnazzforever #Delhi #BB13OnVoot
Contractor Nesamani,"@SRSekharBJP What ever you say now, your party is a loser in Delhi.... 😂"
Prem Prashant Chaudhary,Congratulations @ArvindKejriwal ji for your much deserving victory in Delhi assembly elections.
Manjit Parmar,@LambaAlka @punitbalduwaINC @LambaAlka Its ok dear sometimes good work dont give us back what we expect but you are… https://t.co/TbY9yWZkuY
Aditi,ये दिल्ली में बसे बांग्लादेशियों और रोहिंग्या की भी जीत है! https://t.co/zvc3mibnDj https://t.co/ZSJ2qPXiHA
Shivam Vij,"*Delhi results : -*

*Jhadoo maro- 62*
*Goli maro -8*
*Danda maro -0*

[forwarded as recieved] 
#DelhiResults2020 #DelhiResults"
