user,tweet
Bihar Youth Congress,"Shri @RahulGandhi leads the  #SaveTheConstitution march against the unconstitutional CAA &amp; NRC in Kalpetta, Wayanad… https://t.co/d0sx1sJCJk"
TheRealKrishna,When govt and police are incapable of taking action what is needed this type of frustration will show frequently.… https://t.co/i3vqCsOPe2
Priyan - சண்முகபிரியன் சிவலிங்கம்,"#CAA_NRC_NPR எதிர்த்து சென்னையில் மனித சங்கிலி போராட்டம்.

இடம் - அண்ணா சாலை அமெரிக்க தூதரகம். https://t.co/iQXR5yt8nB"
"DILKHUSH MEENA KODYAI, SWM",जामिया के छात्र CAA के खिलाफ शांतिपूर्ण व गांधीवादी तरीके से मार्च कर रहे थे। तब ही एक आधुनिक गोड़से(गोपाल) ने खुले… https://t.co/1diAWj6uFl
Shivam Dubey🇮🇳,"शाहीन बाग में धरने पर बैठने से ये घमंडी सरकार CAA वापस नहीं लेगी आत्महत्या करनी शुरू करो बे ।

😂😂😂😂😂😂😂"
🇮🇳 Indrani_se_nani 🇮🇳,@vivekagnihotri Red paint
Dr. Amna Shabi,"#Jamia Student shot by a goon
They tried to repeat the assassination of #Gandhi

#Gandhi Hum Sharminda hai, Tere Ka… https://t.co/Sn6shUUCPY"
Financial Express,"Addressing students, the CM without taking names criticised the ""distinguished personalities"" who have extended sup… https://t.co/vmDIhZ1bPB"
Parth Mehrotra,@patni_muzaffar Tum nahi krte na karo mere sare Muslim frnds jo bht ache hai jnu jaise nahi paiso k lie bik gae or… https://t.co/YqFMW3qPSK
दिल्ली विधान सभा चुनाव,सभी चुनाव में भाग लेने वाले उम्मीदवार CAA +NRC में अपना स्पष्ट विचार रखे | समर्थन या विरोध  कुछ भी हो | लेकिन गोल -… https://t.co/h5FLurTSgx
सौर्य मिश्र💯% F🔙,"शाहीन बाग, हज़ारों विरोधियों के ठीक सामने एक अकेला शख्स जो CAA के समर्थन में बैठा है। हिम्मत और जज़्बे की दाद दीजि… https://t.co/ok3zRDAiuq"
Nawed Akhter,Next may be Z+security cover  for attackers on anti CAA protesters.
Dilip Patel,"@sudhirchaudhary बाकि रिपोर्टर ये नहीं पूछ रहे हे की तुमको CAA की छोडो NRC से इतना डर क्यों लग रहा हे,सब केवल ये दिखाएंगे की डरे हुए हे"
KyRosha,"@kamaalrkhan Still u support NRC and CAA, why ?"
Braja Bandhu Behera,Why @republic @NewsX not showing the live movement of the criminal pro CAA openly firing to students of Jamia who admitted in AIIMS
India_For_Indians,@RanaAyyub Here 🤣🤣🤣 https://t.co/MFHbJhlH2f
Shirish,"@ZeeNewsHindi @DelhiPolice Dimaak kharab kar rakha hai....40 din se 
CAA Support karne wale agar sadak par nikal aaye fir kya hoga...."
Garima Bhanot,The government has been maintaining that the CAA is a matter internal to India #CAA_NRC_support #IndiaSupportCAA  https://t.co/Cw7mKf5xQd
Saddam khan,@rishitapandey2 @Sheezansajid @khanumarfa Sun na tere papa(amit shah) ne challange kiya tha jisko nrc caa pe debate… https://t.co/9zCfH09WtA
何 स्नेहांशु प्रियम 米 Hᴛʟ,"वो शूटर CAA सपोटेर था क्या😊
#JamiaViolence"
CharveeSingh_4ve,@taapsee @M_Raj03 @rahuldholakia @Viacom18Studios @AndhareAjit @priyaaven How can we Watch the movie of someone who… https://t.co/xchSjJNJwx
Soumajit Dey,#thatswhymumbai https://t.co/WqrgLN80RW
Ekhon Khobor,"#ekhonkhobor #CAA_NRC_Protests #CAAProtests #JamiaViolence 
‘এই নাও আজাদি’ বলেই সিএএ-বিরোধী মিছিলে গুলি বন্দুকবাজের… https://t.co/0WtjODRJLW"
Amit Kumar Bhagat,@bhupeshbaghel @INCIndia The CAA citizenship amendment should apply in Chhattisgarh.
𝓓𝓱𝓪𝓻𝓶𝓮𝓷𝓭𝓻𝓪 𝓐𝓶𝓫𝓮𝓭𝓴𝓪𝓻 𝓜𝓟,"भारत के दलित को तो बहुत मान सम्मान दिया जा रहा है जैसे की।  
क्यू अंध भक्तो
#काला_कानून_घमंडी_सरकार… https://t.co/BIBSvWQpYv"
MOHD Asif Saifi * 🇮🇳,#shameondelhipolice  #AmitShah #Jamia #CAA_NRCProtests https://t.co/lNAIGbVzEg
Gopinath Rao B.C🚩,@Javedakhtarjadu Yup...by opposing CAA
ਪੰਜਾਬੀ,"जल्दी खेल गए। असहिष्णुता, अभिव्यक्ति की आज़ादी, सर्जिकल स्ट्राइक पर सवाल, स्याही हमला, लाली, मॉब लीनचिंग, CAA प्रद… https://t.co/YgOjXEksTT"
Caa.,@andihiyat Iya. Sekarang paling enak jadi diri sendiri aja udah😊
carina malatesta,Jamia Millia firing case LIVE updates: Opposition seeks minister Anurag Thakur's resignation - India Today https://t.co/gxIb1BLRD6
Shah Nawazkhan,"#BJPkaGodseRaj
Gunman fires at anti-CAA protest rally in Delhi https://t.co/u7MSUyiSsK"
Indiatimes Hindi,"CAA प्रोटेस्ट के दौरान जामिया में पुलिस के सामन फायरिंग, युवक ने कहा- ये लो आजादी 
#Jamia #JamiaMilliaIslamia 
https://t.co/nF1ivwmDUU"
Middle-East & Pakistan Times of News,Gunman fires at anti-CAA protest rally in Delhi https://t.co/Gssxvpk6Rk https://t.co/wNCBLSyg4N
(اتف مکتدر)AtifRT🇮🇳,"5000 किलो सोना चंदा दें #मीर_उस्मान
....
इंकलाब ज़िंदाबाद का नारा दें #हसरत_मोहानी
....
पाकिस्तान का टैंक उड़ाऐ… https://t.co/j3jFrFtCwf"
Arunima Pandey Mishra,"@ajitanjum @amitposts जो तर्क करना नहीं जानते, बल्कि तर्क से नफ़रत करते हैं, उनका गोड्सेकरण तेजी से होता है। गोडसे… https://t.co/pWtSywWkTI"
SAURAV SINHA CHOWDHURY,"@sudhirchaudhary WB pe Hum sab log chup hai mujburan bt Savi CAA K sath hain...
Central Govt Should act strict acti… https://t.co/2K53H913aS"
cacaa,"kenapa dah orang"" pada kocak bat elahh"
Nahid Lari Khan,आतंकी देशद्रोही शैतान गोडसे ने आज के ही दिन बापू की हत्या की थी आज पुनःदेशद्रोही आतंकी शैतान गोडसे नंबर2गोपाल ने बा… https://t.co/vXeDCkGFC2
ALI SHAIKH,@kashaf3751 #We_Are_Gandhians #We_Are_Gandhians #We_Are_Gandhians #We_Are_Gandhians #तुम_कितने_गांधी_मारोगे… https://t.co/l6b51g6xND
MOHD RAZA,"Godse Abhi Zinda hai😔😔
A miscreant flashed a gun chanting Pro CAA slogans and fired a shot injuring a Jamia student… https://t.co/FCKtHRySmM"
michael arun,"#DelhiPolice standing very discipline, when a man opens fire against Anti CAA NRC protesters...

Shame on you… https://t.co/Cr68GkPaCy"
Ashfaq Khan,"जालिम खुश हो रहे हैं कि हाकिम 
भी हमारा और हुकूमत भी हमारी है
मगर जालिमों हम भी लावारिस नहीं है, 
सबसे बड़ा हाकिम अ… https://t.co/KLtCfbfp2i"
Jayesh,"ये पुराना हो गया - 

"" क्या चल रहा है?
FOGG चल रहा है"" ,

अब नया आया है -

"" क्या चल रहा ? 
योगी जी ,अमित शाह , CAA… https://t.co/PfJfbDTGxd"
अंशु प्रियदर्शी,The preparators of CAA_NRC protest doesn't want to leave any stone unturned to make it a violent one....... thankfu… https://t.co/GijlWG6jcB
Aniket Aga,"Heavy police &amp; paramilitary presence and bus loads of police on stand by, at the memorial of the man, who declined… https://t.co/cj5WiWiU6w"
St. Prakash,@rahulkanwal Saw ur interview with @SadhguruJV . He was asking you why nobody in media tell the protestors that CAA… https://t.co/BmQyFvsVRA
GAUTAM,"@TahaMahmood179 @being_dogra Nah. I believed that at the start. Then i heard hinduo se azadi, jinaah wali azadi, li… https://t.co/poSkY1Sw4k"
Gaurav kumar singh,@its_ok_yaar Rss ka hi hu aur meri maa behen road jam nahi karti wo bhi parliament se pass bill ke khilaf... aur ky… https://t.co/n1uznvbweU
सत्य हूँ मैं⚖️👁️‍🗨️,"‘वो आया..गोली चलाकर बोला...ये लो आजादी’, चश्मदीद ने बताया- जामिया में क्या हुआ -
भाजपा के अनुराग ठाकुर ने जो कहा वह… https://t.co/gmTAWYhSem"
CHINMOY,"Entire incident based on REVENGE not link with #CAA OR NRC
Some Muslim goons Killed his friend CHANDAN year ago… https://t.co/utXo7wyP1u"
🇮🇳 SUDIP YADAV 🇮🇳,"@RanaAyyub The terrorist has a name. He tells police his name is Tahiruddin.

Tahiruddin is TMC's Jalangi Block Pre… https://t.co/j1063GNi8s"
Vishal Bhattacharji {Tyre Marks},"CAA के खिलाफ दिल्ली के 
शाहीन बाग में हो रहे प्रदर्शन के समर्थन में आए लोग 👍🏼 https://t.co/Y0BCq8LAlK"
Manvendra Singh,"@RanaAyyub So why r u protesting against CAA
Y u want more Muslims here in Ind
Save them 🙏"
शेर सिंह ब्रिजवासी,@Dr_Uditraj @ANI @INCIndia @BBCHindi #CAA_NRC_Protests देश मे हो रहे प्रदर्शन को देखते हुए युवायों में गुस्सा है।
Harry Potter,"@ajitanjum @VinodSharmaView This man was part of the student mob

Why didn't he fire when he was part of mob ?
He w… https://t.co/IFI9z8g4kg"
To The POINT,@KabirTaneja Me searching for timeline of kabir calling out those that shot 55 cops on anti CAA protest by JIHADIST. https://t.co/zBNUPx2hzg
भारत समाचार,"#BharatSamachar 

#Delhi :- #CAA प्रदर्शन के दौरान #Jamia में चली गोली, युवक ने कहा- मैं दिलाता हूं आजादी.… https://t.co/LE36qaXm6P"
आरंभशूर,Liberals on Facebook now suddenly feeling that India is now insecure due to CAA! They are saying why the attacker chose this day. 🤣🤣
࿗WOKEZombie ࿗,@supermaniac111 @Chaiti @DelhiPolice May be plot was to spread violence but shooter was caught by public on the spo… https://t.co/ntgngfjuxm
‏نورالدین🇮🇳,I blame our judiciary for dragging the CAA hearing to another month .. this is state sponsored and judiciary hailed… https://t.co/5ibXyLHb0F
S M Abbas س م عبّاس,"#CAA_NRCProtests
Hindus of Pakistan reject CAA, do not want Indian Prime Minister Modi’s offer of citizenship https://t.co/frqBj4nK1K"
Annihilation of Caste,"@anilkum04050305 Never instead he is breaking the Hindu Muslim narrative, bcoz he said that dalits, adivasis and Ba… https://t.co/rCX2GEfz1i"
Harry Potter,"@VinodSharmaView @ajitanjum This man was part of the student mob

Why didn't he fire when he was part of mob ?
He w… https://t.co/gLEDmkB8nS"
Kalaignar Seithigal,"“விடுதலையா... இந்தா எடுத்துக்கோ” : CAA-வுக்கு எதிராக போராட்டம் நடத்திய மாணவர்கள் மீது துப்பாக்கிச் சூடு!

#Jamia… https://t.co/jr1DIFxhnd"
Mohammad Abrar Khan,ये वही #दिल्ली_पुलिस है जिसने जामिया के निहत्थे स्टूडेंट्स और CAA विरोधी रैलियों में आये प्रदर्शकारियों को लाठियों… https://t.co/RMAtrerG06
SwamiChidanandSaraswati,"अगर मुस्लिम, भारतीय कम्पनी के प्रोडक्ट जैसे कि बाबा रामदेव,अम्बानी का बहिष्कार कर सकते हे तो आज से और अभी से मुस्लि… https://t.co/9A6HXzDpH7"
Mayank Intwala,@SHASHANKSVERMA @NizzInd @ANI Jahil hum nahi jahil wo he jo CAA ka bina pade virodh kar rahe he...
